T_FO, T_SO
84.03, 237.569
39.873, 80.163
12.01, 27.162
10.449, 27.255
10.344, 27.696
10.619, 25.962
10.217, 27.566
10.582, 27.144
10.168, 26.851
17.827, 28.926
10.323, 25.667
10.356, 26.322
10.609, 27.461
10.646, 25.939
10.172, 27.008
10.291, 27.081
10.125, 27.385
10.625, 25.953
10.83, 27.284
10.728, 26.133
10.281, 26.997
10.387, 27.519
10.288, 32.035
10.502, 25.698
10.195, 25.221
10.28, 26.772
10.226, 27.132
10.258, 25.835
10.351, 27.215
10.6, 26.991
49.513, 128.223
17.421, 12.688
4.783, 12.07
4.86, 12.031
4.744, 11.991
4.86, 12.043
4.756, 11.902
4.848, 11.949
4.776, 11.938
4.784, 11.92
4.748, 11.953
4.72, 11.871
4.722, 11.88
4.745, 11.898
4.718, 11.905
4.73, 11.884
4.79, 11.969
4.73, 11.936
4.805, 11.949
4.671, 11.905
4.66, 11.901
4.794, 11.916
4.757, 11.943
4.738, 11.922
4.8, 11.95
4.809, 11.904
4.768, 11.919
4.824, 11.914
4.741, 11.906
4.746, 11.943
4.735, 11.879
4.777, 11.963
4.822, 11.969
4.738, 11.912
4.759, 12.034
4.719, 11.938
4.718, 11.95
4.698, 15.798
4.748, 12.024
4.748, 11.918
4.696, 11.954
4.722, 11.985
4.708, 11.986
4.732, 11.969
4.793, 11.999
4.737, 11.967
4.797, 11.953
4.753, 11.963
4.744, 11.973
4.73, 12.122
4.744, 11.917
5.157, 12.31
4.755, 11.955
4.738, 11.946
4.693, 11.971
4.764, 12.096
4.938, 11.901
4.728, 12.209
4.816, 11.911
4.956, 11.912
4.723, 11.928
4.749, 12.05
4.75, 11.928
4.779, 11.974
4.697, 11.924
5.029, 11.953
4.817, 11.931
4.73, 11.909
4.726, 12.005
4.793, 12.917
4.546, 11.585
4.874, 11.58
4.615, 11.572
4.598, 11.599
4.587, 11.568
4.574, 11.536
4.63, 11.574
4.613, 11.53
4.59, 11.583
4.575, 11.538
4.842, 11.578
4.669, 11.589
4.563, 11.587
4.536, 11.534
5.979, 38.659
11.651, 28.781
11.289, 28.573
11.483, 28.595
11.427, 28.442
11.438, 28.628
11.327, 28.404
11.397, 28.388
11.188, 28.514
11.26, 28.31
11.218, 28.317
11.186, 28.324
11.181, 28.49
11.2, 28.41
11.306, 42.968
12.097, 28.993
11.8, 28.908
11.412, 28.637
11.336, 28.716
11.485, 36.461
11.43, 28.785
14.205, 29.079
11.334, 28.583
11.468, 28.739
11.374, 28.925
11.256, 28.687
11.195, 28.762
11.268, 28.491
11.398, 28.649
11.512, 28.579
11.896, 28.807
11.323, 24.067
4.739, 11.222
6.623, 14.821
4.699, 11.366
5.183, 11.351
4.687, 11.219
4.459, 11.349
5.262, 11.495
4.626, 11.524
4.422, 11.357
5.406, 11.633
6.773, 18.875
7.548, 19.408
7.739, 19.84
7.416, 17.585
6.258, 17.41
7.532, 17.921
6.815, 55.1
18.515, 34.951
10.134, 26.166
9.681, 23.919
9.162, 25.092
9.422, 24.973
10.148, 25.861
10.155, 27.661
9.288, 25.061
9.394, 26.22
9.596, 24.489
9.321, 25.078
9.416, 24.955
8.913, 24.336
9.17, 24.695
9.197, 24.786
9.099, 24.795
9.326, 24.607
9.29, 24.475
9.398, 26.149
8.93, 32.119
9.045, 24.459
9.265, 25.45
9.883, 28.495
10.727, 27.748
10.802, 27.039
9.646, 27.034
10.049, 32.874
10.396, 26.013
8.789, 23.989
8.78, 24.303
9.291, 23.899
8.929, 24.947
8.773, 24.702
9.065, 23.777
8.89, 23.957
8.774, 24.362
8.857, 24.399
9.556, 26.329
10.111, 23.957
9.23, 51.806
17.438, 53.414
17.852, 51.686
18.097, 49.381
17.579, 51.865
18.379, 51.246
18.705, 51.607
22.262, 60.277
21.138, 60.393
20.022, 58.283
20.846, 57.636
18.669, 47.831
16.995, 52.691
18.595, 45.319
16.76, 46.526
16.849, 45.499
17.06, 49.254
18.508, 49.175
18.069, 49.53
18.289, 50.273
18.854, 49.245
18.273, 49.312
17.7, 48.365
17.705, 48.874
18.042, 58.174
18.133, 49.298
18.229, 50.039
19.025, 48.758
17.989, 49.183
19.582, 52.73
20.116, 53.372
19.297, 51.858
19.846, 52.702
19.6, 53.116
19.562, 55.225
20.799, 62.462
22.19, 58.392
21.115, 56.841
21.309, 58.324
20.911, 55.655
20.908, 55.617
21.133, 53.855
19.583, 55.799
19.638, 56.274
19.776, 54.875
20.675, 57.177
29.673, 53.726
19.305, 54.15
20.219, 57.817
22.073, 63.055
22.617, 61.363
20.617, 52.295
19.881, 53.411
19.116, 53.958
19.525, 77.56
20.298, 54.076
31.727, 55.16
19.648, 53.26
20.216, 55.472
21.157, 55.443
20.436, 55.663
20.27, 54.553
20.192, 54.853
20.376, 52.591
19.598, 53.599
20.46, 52.846
20, 61.86
20.143, 54.86
19.687, 53.921
20.383, 53.484
20.008, 54.236
19.446, 54.116
22.272, 64.401
22.347, 72.484
24.863, 72.393
22.934, 66.52
22.605, 83.433
25.256, 70.833
23.713, 66.444
21.944, 57.302
22.005, 64.737
25.411, 66.822
22.801, 70.437
24.602, 72.566
26.599, 76.039
27.948, 82.916
29.622, 83.088
27.148, 71.974
25.112, 76.194
25.209, 64.929
21.98, 54.228
20.891, 54.674
20.845, 53.758
19.928, 60.021
19.982, 54.43
20.506, 59.7
22.028, 57.793
21.557, 62.91
25.883, 68.536
22.68, 64.622
25.42, 81.359
29.645, 84.616
29.651, 98.938
35.002, 99.538
34.052, 86.913
27.301, 80.165
24.839, 66.791
24.839, 72.238
32.953, 111.629
43.458, 132.096
45.812, 115.676
33.963, 89.707
30.614, 90.604
31.048, 93.075
31.849, 108.969
35.534, 110.198
30.971, 69.445
24.5, 61.905
21.743, 56.874
21.858, 57.908
22.879, 58.616
20.594, 55.775
21.609, 54.466
21.635, 52.723
20.292, 59.561
20.6, 54.803
21.122, 57.103
19.968, 55.387
20.49, 57.008
20.478, 54.448
20.425, 56.833
21.388, 56.313
20.819, 50.332
19.869, 58.161
22.613, 60.406
25.813, 67.585
22.955, 63.568
22.833, 61.558
21.233, 57.27
20.703, 53.208
21.098, 55.983
21.101, 58.061
21.66, 58.922
24.604, 68.406
25.881, 82.355
24.479, 69.126
23.057, 66.13
22.119, 59.632
20.527, 57.239
20.38, 57.789
22.555, 52.495
20.568, 55.56
20.702, 55.358
21.325, 65.97
35.156, 105.161
34.258, 95.26
24.256, 66.828
23.54, 65.778
23.821, 63.176
20.532, 62.912
21.358, 65.191
23.965, 78.45
51.666, 117.772
38.116, 92.592
25.515, 60.903
22.203, 57.574
22.466, 56.583
22.529, 58.813
22.547, 58.211
22.468, 57.661
21.369, 79.572
26.424, 70.075
25.881, 72.913
27.133, 82.902
34.483, 94.924
34.476, 93.306
25.813, 66.822
22.548, 56.997
30.282, 73.559
35.998, 123.16
39.991, 99.321
31.731, 81.032
24.63, 66.565
25.393, 67.327
23.634, 72.707
31.114, 103.622
32.116, 101.058
32.975, 92.916
32.729, 83.529
28.665, 75.572
26.901, 77.438
